First Name,Last Name,Full Name,Gender,Region,Generation
--- EXPORT METADATA ---,,,,,
Generated At,2025-06-30T22:06:01.950Z,,,,
Total Names,50000,,,,
Male Names,24918,49.8%,,,
Female Names,25082,50.2%,,,
Unique First Names,2590,,,,
Unique Last Names,1472,,,,
Avg First Name Length,5,,,,
Avg Last Name Length,8,,,,
--- DATA ---,,,,,
Koen,Huis,Koen Huis,male,randstad,contemporary
Emi,Boer,Emi Boer,female,general,contemporary
Geertruida,ter Kerk,Geertruida ter Kerk,female,randstad,traditional
Cor,Beek,Cor Beek,male,north,modern
Luna,Henks,Luna Henks,female,randstad,contemporary
Mar,op de Beekburg,Mar op de Beekburg,male,general,modern
Stijn,te Bosch,Stijn te Bosch,male,general,contemporary
Emma,in de Veld,Emma in de Veld,female,south,contemporary
Milou,van de Windburg,Milou van de Windburg,female,north,contemporary
Noah,Henksen,Noah Henksen,male,randstad,contemporary
Fuoske,Bernardsz,Fuoske Bernardsz,female,general,traditional
Milou,Schilder,Milou Schilder,female,general,contemporary
Finn,ter Hout,Finn ter Hout,male,randstad,contemporary
Lars,Jansen,Lars Jansen,male,randstad,modern
Hendrika,van der Wegburg,Hendrika van der Wegburg,female,randstad,traditional
Piet,Visser,Piet Visser,male,south,modern
Sophie,ter Hoekhout,Sophie ter Hoekhout,female,north,modern
Lara,Visser,Lara Visser,female,south,modern
Adriaan,van Werf,Adriaan van Werf,male,general,traditional
Isa,Bakker,Isa Bakker,female,general,contemporary
Thijs,Wegdijk,Thijs Wegdijk,male,randstad,contemporary
Jacobus,Pietsz,Jacobus Pietsz,male,randstad,traditional
Zoë,Weg,Zoë Weg,female,south,contemporary
Joep,in de Waterhout,Joep in de Waterhout,male,general,contemporary
Bram,Bakker,Bram Bakker,male,general,modern
Tim,Bakker,Tim Bakker,male,north,modern
Marie,Jacobsz,Marie Jacobsz,female,north,modern
Tim,De jong,Tim De jong,male,randstad,modern
Maud,Schilder,Maud Schilder,female,north,modern
Piet,in de Laan,Piet in de Laan,male,south,traditional
Mar,Schrijver,Mar Schrijver,male,north,modern
Emi,Koning,Emi Koning,female,randstad,contemporary
Johannes,Gerardzoon,Johannes Gerardzoon,male,general,traditional
Lucas,van Hout,Lucas van Hout,male,randstad,contemporary
Ben,van der Weghout,Ben van der Weghout,male,randstad,modern
Cornelia,Brouwer,Cornelia Brouwer,female,general,traditional
Joept,Boschdijk,Joept Boschdijk,male,randstad,contemporary
Margaretha,Hout,Margaretha Hout,female,south,traditional
Luna,in de Berg,Luna in de Berg,female,north,contemporary
Fesje,Laanberg,Fesje Laanberg,female,randstad,modern
Julia,Horst,Julia Horst,female,north,modern
Frans,Schrijversen,Frans Schrijversen,male,south,contemporary
Henk,van den Werf,Henk van den Werf,male,south,modern
Goot,Kerkhof,Goot Kerkhof,male,randstad,contemporary
Jade,Koning,Jade Koning,female,randstad,modern
Sophie,Broek,Sophie Broek,female,south,modern
Sebastiaan,Bernards,Sebastiaan Bernards,male,randstad,contemporary
Jan,Smid,Jan Smid,male,north,traditional
Lotteke,Jansen,Lotteke Jansen,female,general,modern
Thijs,De vries,Thijs De vries,male,randstad,contemporary
Brem,Bakker,Brem Bakker,male,general,modern
Hendrika,in de Hof,Hendrika in de Hof,female,general,traditional
Liv,van de Hout,Liv van de Hout,female,randstad,contemporary
Evi,Zand,Evi Zand,female,general,contemporary
Tom,van den Meer,Tom van den Meer,male,general,modern
Noa,ter Donk,Noa ter Donk,female,general,contemporary
Emi,op de Koolhout,Emi op de Koolhout,female,general,contemporary
Rick,van de Kerk,Rick van de Kerk,male,randstad,modern
Trun,Jans,Trun Jans,male,south,modern
Finn,De jong,Finn De jong,male,south,contemporary
Maximilian,Mulder,Maximilian Mulder,female,randstad,modern
Lucas,de Molen,Lucas de Molen,male,north,contemporary
Niek,De jong,Niek De jong,male,general,contemporary
Hendrik,Gerardsz,Hendrik Gerardsz,male,general,traditional
Jan,Visser,Jan Visser,male,south,traditional
Julia,De jong,Julia De jong,female,general,modern
Margaretha,Jacobsen,Margaretha Jacobsen,female,general,traditional
Evia,ter Wind,Evia ter Wind,female,north,contemporary
Treu,De jong,Treu De jong,female,general,contemporary
Annake,in de Hout,Annake in de Hout,female,north,traditional
Liv,Veen,Liv Veen,female,north,contemporary
Sanne,Slager,Sanne Slager,female,randstad,modern
Lucas,van den Kerk,Lucas van den Kerk,male,randstad,contemporary
Cor,Koning,Cor Koning,male,general,modern
Lotte,Berg,Lotte Berg,female,north,modern
Maximilian,op de Weg,Maximilian op de Weg,male,randstad,modern
Ger,Straathuis,Ger Straathuis,male,general,modern
Anna,van der Bergdorp,Anna van der Bergdorp,female,north,traditional
Amber,Mulder,Amber Mulder,female,north,modern
Finn,Steen,Finn Steen,male,general,contemporary
Julia,Visser,Julia Visser,female,randstad,modern
Klaas,Timmerman,Klaas Timmerman,male,south,traditional
Tjeerd,Jansen,Tjeerd Jansen,male,north,modern
Amber,Pietzoon,Amber Pietzoon,female,south,modern
Sebastiaan,de Huishout,Sebastiaan de Huishout,female,randstad,modern
Klaas,op de Heide,Klaas op de Heide,male,north,contemporary
Thijs,de Kerkburg,Thijs de Kerkburg,male,randstad,contemporary
Deis,in de Haven,Deis in de Haven,male,north,contemporary
Luna,Smidman,Luna Smidman,female,general,contemporary
Nina,De vries,Nina De vries,female,south,modern
Ger,Visser,Ger Visser,male,general,modern
Zoë,Koning,Zoë Koning,female,randstad,contemporary
Crie,van der Steen,Crie van der Steen,male,north,traditional
Bo,in de Poeldorp,Bo in de Poeldorp,female,north,contemporary
Noaje,Boers,Noaje Boers,female,south,contemporary
Ben,te Hof,Ben te Hof,male,general,modern
Max,de Hout,Max de Hout,male,south,modern
Wiebe,Schilder,Wiebe Schilder,male,north,contemporary
Fuje,De vries,Fuje De vries,female,randstad,modern
Nina,Jansen,Nina Jansen,female,north,modern
Marie,op de Koolhout,Marie op de Koolhout,female,general,modern
Ger,ter Velddorp,Ger ter Velddorp,male,general,modern
Lars,in de Poel,Lars in de Poel,male,general,modern
Mar,van de Laan,Mar van de Laan,male,general,modern
Catharina,van de Beekburg,Catharina van de Beekburg,female,general,traditional
Anna,van den Straat,Anna van den Straat,female,south,traditional
Evije,van Haven,Evije van Haven,female,randstad,contemporary
Sam,de Zand,Sam de Zand,male,general,modern
Milan,van der Veen,Milan van der Veen,male,general,contemporary
Margaretha,De vries,Margaretha De vries,female,general,traditional
Marie,te Horsthout,Marie te Horsthout,female,north,modern
Anna,van den Kamp,Anna van den Kamp,female,general,traditional
Adriaan,De jong,Adriaan De jong,male,general,traditional
Catharina,Bakker,Catharina Bakker,female,randstad,traditional
Cornelis,Huis,Cornelis Huis,male,south,traditional
Margaretha,van de Woud,Margaretha van de Woud,female,general,traditional
Joep,Jansen,Joep Jansen,male,randstad,contemporary
Julia,de Weg,Julia de Weg,female,south,modern
Lotte,Bakker,Lotte Bakker,female,general,modern
Adriaan,Weg,Adriaan Weg,male,general,traditional
Noa,Hof,Noa Hof,female,general,contemporary
Finn,Koning,Finn Koning,male,general,contemporary
Daan,Zandhuis,Daan Zandhuis,male,north,contemporary
Cornelis,Wind,Cornelis Wind,male,north,traditional
Jos,Bakker,Jos Bakker,male,south,traditional
Raur,De jong,Raur De jong,female,south,traditional
Johannes,Visser,Johannes Visser,male,randstad,traditional
Litte,Smitsen,Litte Smitsen,female,north,modern
Cornelis,Dekker,Cornelis Dekker,male,south,traditional
Adriaan,Veen,Adriaan Veen,male,general,traditional
Kaar,ter Broek,Kaar ter Broek,female,south,traditional
Eva,Waterhof,Eva Waterhof,female,north,contemporary
Klaas,van der Straat,Klaas van der Straat,male,north,traditional
Leuter,Slagersen,Leuter Slagersen,male,general,contemporary
Ben,Jansen,Ben Jansen,male,north,modern
Lotte,van de Hoekhout,Lotte van de Hoekhout,female,general,modern
Sam,Dekker,Sam Dekker,male,north,modern
Maximilian,Jans,Maximilian Jans,female,randstad,modern
Catharina,Jager,Catharina Jager,female,south,traditional
Daan,De jong,Daan De jong,male,north,contemporary
Piet,Gerardsen,Piet Gerardsen,male,general,traditional
Jacobus,De jong,Jacobus De jong,male,randstad,traditional
Sebastiaan,Mulder,Sebastiaan Mulder,female,randstad,modern
Ton,in de Weg,Ton in de Weg,male,south,modern
Leik,De vries,Leik De vries,male,south,traditional
